date,read,title
2020-07-27,2195,那个自学UI设计的女孩怎么样了？
2020-09-09,1932,马特里卡特邀合作企业“启明星辰”技术经理来校给学员做网络安全分享！
2020-09-09,2676,核心实验：Selenium WebDriver->鼠标与键盘操作
2020-07-28,1992,工作9年后转行软件测试，他的入职月薪9K！
2020-07-27,2133,做UI设计的你 这篇文章一定要收藏！
2020-09-09,2099,蜗牛出版之《JavaEE企业级框架开发实战教程》书籍详解！
2020-09-14,2005,花2万参加IT培训，到底值不值？
2020-09-09,2086,一位年轻妈妈转行Web前端，她的入职月薪9.4K！
2020-09-09,1890,零基础选择IT培训靠谱吗，能否通过IT培训机构的学习找到工作？
2020-07-28,2169,你猜：蜗牛学院哪个校区的学员最能熬夜！
2020-09-15,2010,送你一份选择软件测试培训机构的最强攻略！
2020-09-16,2299,蜗牛出版之《Python爬虫开发实战教程》书籍详解！
2020-09-16,2473,核心实验：Selenium WebDriver->其他应用（一）
2020-09-16,2050,与IT培训机构签订合同时，你一定要注意这些细节，不然会被坑惨！
2020-07-28,2545,福利待查收｜ 留言瓜分蜗牛学院2W+大礼！
2020-07-28,2117,好嗨 | 阿多比的学员个个身怀绝技！！
2020-08-03,2776,如何进入互联网大厂？？？
2020-08-04,2301,蜗牛网校，PBET-7.0课程详解之C/C++物联网
2020-08-03,1946,阿多比设计学院告诉你：XX岁转行UI设计晚不晚？看看《三十而已》就知道了
2020-08-03,2772,那些关于培训班的刻板印象！阿多比全部都打破！！
2020-08-11,3432,核心实验：Selenium WebDriver->基础使用
2020-08-04,2836,蜗牛学院“拍了拍”你，武汉校区首期测试班平均就业薪资8792元！
2020-08-04,3148,核心实验：利用Python调用SikuliX接口
2020-08-31,2136,如何选择Java开发的IT培训机构？
2020-08-27,2703,IT培训机构每年“生产”数十万程序员，市场缺口为何还很大？
2020-09-01,2527,通过IT培训机构入行的人越来越多，程序员工资为啥却不降反升？
2020-09-03,2530,企业到校招聘，众多合作伙伴也纷纷要人，蜗牛学员，就是给力！！！
2020-09-03,2527,17年毕业，20年转行测试，她的入职月薪9K！
2020-09-03,2576,蜗牛出版之《接口自动化测试开发实战教程》书籍详解！
2020-09-03,3822,核心实验：Selenium WebDriver->窗口切换
2020-09-03,2799,IT培训机构水有多深，你可知道？
2020-09-03,3145,贺：蜗牛学院成功中标中原银行Java内训项目！
2020-09-16,1962,西安校区28期Java班全员就业，平均薪资7550元！
2020-09-07,2289,软件测试是不是比Java开发的要求更低一些？
2020-09-16,2096,本周蜗牛学院四校区开班，致敬每一位勇敢改变的人！
2020-09-17,1992,参加IT培训机构的学习，大家一定要注意这五点！
2020-09-22,2295,核心实验：Selenium WebDriver->其他应用（二）
2020-09-22,1983,蜗牛网校Python测试开发直播课，开课啦！
2020-09-23,2079,老铁，请你别再按照这样的SB逻辑去选择IT培训机构了！
2020-09-22,2207,培训出来的程序员工资是真高，还是IT培训机构的宣传手段？
2020-09-22,2115,武汉校区两大学霸就业创新高，入职月薪均为18000！
2020-09-22,2510,蜗牛出版之《Web前端开发实战教程》书籍详解！
2020-09-25,2294,2020年若要转行IT，我建你首选Web前端，原因如下
